email_id,platform,subject,to,body
rentalcars_126225,Rentalcars,A reserva foi criada - 126225.,info@renticop.pt,"Caro(a) Inês Santos,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 126225
Data de levantamento: 2025-11-18 11:15 em Gaia Station
Data de devolução: 2025-11-22 19:00 em Santa Cruz Downtown
Viatura: Ford Fiesta
Preço total: 521.53 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_198246,Rentalcars,A reserva foi criada - 198246.,info@renticop.pt,"Caro(a) John Silva,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 198246
Data de levantamento: 2025-10-20 16:00 em Gaia Station
Data de devolução: 2025-10-24 16:15 em Santa Cruz Downtown
Viatura: Hyundai i20
Preço total: 269.9 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_948749,Rentalcars,A reserva foi criada - 948749.,info@renticop.pt,"Caro(a) Tiago Smith,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 948749
Data de levantamento: 2025-07-04 20:15 em Porto Airport
Data de devolução: 2025-07-17 19:45 em Lisbon Airport
Viatura: Toyota Yaris
Preço total: 770.9 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_197251,Rentalcars,A reserva foi criada - 197251.,info@renticop.pt,"Caro(a) Miguel Santos,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 197251
Data de levantamento: 2026-01-11 13:30 em Funchal Airport
Data de devolução: 2026-01-13 17:30 em Gaia Station
Viatura: Nissan Micra
Preço total: 484.64 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_182627,Rentalcars,A reserva foi criada - 182627.,info@renticop.pt,"Caro(a) Joana Marques,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 182627
Data de levantamento: 2026-04-09 18:30 em Gaia Station
Data de devolução: 2026-04-14 17:15 em Funchal Airport
Viatura: Volkswagen Golf
Preço total: 569.66 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_183667,Rentalcars,A reserva foi criada - 183667.,info@renticop.pt,"Caro(a) Diana Smith,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 183667
Data de levantamento: 2025-10-28 09:45 em Gaia Station
Data de devolução: 2025-11-11 12:45 em Porto Airport
Viatura: Renault Clio
Preço total: 371.72 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_379946,Rentalcars,A reserva foi criada - 379946.,info@renticop.pt,"Caro(a) Emily Coelho,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 379946
Data de levantamento: 2026-06-25 18:00 em Santa Cruz Downtown
Data de devolução: 2026-07-06 17:15 em Gaia Station
Viatura: Toyota Yaris
Preço total: 231.11 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_771088,Rentalcars,A reserva foi criada - 771088.,info@renticop.pt,"Caro(a) Sara Smith,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 771088
Data de levantamento: 2026-06-18 11:30 em Lisbon Airport
Data de devolução: 2026-06-27 20:00 em Funchal Airport
Viatura: Seat Ibiza
Preço total: 392.79 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_694731,Rentalcars,A reserva foi criada - 694731.,info@renticop.pt,"Caro(a) Maria Garcia,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 694731
Data de levantamento: 2025-12-09 18:45 em Lisbon Airport
Data de devolução: 2025-12-13 14:45 em Porto Airport
Viatura: Renault Clio
Preço total: 287.71 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_375504,Rentalcars,A reserva foi criada - 375504.,info@renticop.pt,"Caro(a) Laura Costa,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 375504
Data de levantamento: 2026-04-26 17:45 em Lisbon Airport
Data de devolução: 2026-05-03 13:15 em Santa Cruz Downtown
Viatura: Nissan Micra
Preço total: 181.82 EUR

Cumprimentos,
Equipa Rentalcars
"
